doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
vinuni-library-access-services,data/k3_university/vinuni-library-access-services.md,Chính sách Truy cập và Dịch vụ Thư viện VinUni,https://policy.vinuni.edu.vn/all-policies/library-policies-for-users/,2026-08-03,V4.0,public-page
vinuni-academic-regulations-undergrad,data/k3_university/vinuni-academic-regulations-undergrad.md,Quy chế Đào tạo Đại học Chính quy VinUni,https://policy.vinuni.edu.vn/all-policies/academic-regulations-for-full-time-undergraduate-programs/,TODO,TODO,public-page
vinuni-student-code-of-conduct,data/k3_university/vinuni-student-code-of-conduct.md,Quy tắc Ứng xử dành cho Sinh viên VinUni,https://policy.vinuni.edu.vn/all-policies/student-affairs-regulations-code-of-conduct/,TODO,TODO,public-page
vinuni-financial-regulations-student,data/k3_university/vinuni-financial-regulations-student.md,Quy định Tài chính và Biểu phí dành cho Sinh viên VinUni,https://policy.vinuni.edu.vn/all-policies/financial-regulations-and-tariff-for-student-2/,TODO,TODO,public-page
vinuni-scholarship-maintenance,data/k3_university/vinuni-scholarship-maintenance.md,Hướng dẫn Duy trì Học bổng Đầu vào và Hỗ trợ Tài chính,https://policy.vinuni.edu.vn/all-policies/criteria-to-maintain-the-entry-scholarship-and-financial-aid-support/,TODO,TODO,public-page
vinuni-employees-code-of-conduct,data/k3_university/vinuni-employees-code-of-conduct.md,Quy tắc Ứng xử dành cho Cán bộ, Giảng viên và Nhân viên VinUni,https://policy.vinuni.edu.vn/all-policies/code-of-conduct/,TODO,TODO,public-page
vinuni-faculty-appointment-promotion,data/k3_university/vinuni-faculty-appointment-promotion.md,Quy định Bổ nhiệm và Thăng hạng Giảng viên VinUni,https://policy.vinuni.edu.vn/all-policies/faculty-appointment-and-promotion-policy-and-procedures/,TODO,TODO,public-page
vinuni-course-registration-announcement,data/k3_university/vinuni-course-registration-announcement.md,Thông báo Đăng ký Học phần Học kỳ Spring 2026,https://registrar.vinuni.edu.vn/2025/12/15/official-announcement-spring-2026-course-registration/,2026-08-03,2025-12-15,public-page
